66_line_1	82_line_1
66_line_2	82_line_2
66_line_3	82_line_4
66_line_118	82_line_5
66_line_46	82_line_6
66_line_80	82_line_7
66_line_149	82_line_8
66_line_208	82_line_12
66_line_132	82_line_13
66_line_52	82_line_16
66_line_54	82_line_17
66_line_136	82_line_18
66_line_108	82_line_20
66_line_49	82_line_21
66_line_105	82_line_22
66_line_212	82_line_23
66_line_159	82_line_25
66_line_90	82_line_26
66_line_68	82_line_30
66_line_107	82_line_31
66_line_100	82_line_32
66_line_111	82_line_34
66_line_81	82_line_35
66_line_167	82_line_36
66_line_121	82_line_37
66_line_120	82_line_38
66_line_214	82_line_40
66_line_213	82_line_41
66_line_119	82_line_42
66_polygon_24	82_polygon_1
66_polygon_33	82_polygon_2
66_polygon_40	82_polygon_3
66_polygon_38	82_polygon_4
66_polygon_43	82_polygon_5
66_polygon_39	82_polygon_6
66_polygon_34	82_polygon_7
66_polygon_6	82_polygon_8
66_polygon_7	82_polygon_9
66_polygon_11	82_polygon_10
66_polygon_10	82_polygon_11
66_polygon_17	82_polygon_12
66_polygon_14	82_polygon_13
66_polygon_15	82_polygon_14
66_polygon_42	82_polygon_15
66_polygon_36	82_polygon_16
66_polygon_2	82_polygon_17
66_polygon_1	82_polygon_18
66_polygon_3	82_polygon_19
66_polygon_4	82_polygon_20
66_polygon_8	82_polygon_21
66_polygon_32	82_polygon_22
66_polygon_25	82_polygon_23
66_polygon_19	82_polygon_24
66_polygon_51	82_polygon_26
66_polygon_29	82_polygon_27
66_polygon_26	82_polygon_29
66_polygon_60	82_polygon_30
66_polygon_27	82_polygon_31
66_polygon_31	82_polygon_32
66_polygon_20	82_polygon_35
66_polygon_23	82_polygon_36
66_polygon_22	82_polygon_37
66_polygon_21	82_polygon_38
66_polygon_30	82_polygon_39
66_polygon_16	82_polygon_41
66_polygon_18	82_polygon_42
66_polygon_46	82_polygon_43
66_polygon_37	82_polygon_44
66_polygon_12	82_polygon_45
66_polygon_35	82_polygon_46
66_polygon_13	82_polygon_48
66_polygon_49	82_polygon_50
66_polygon_47	82_polygon_51
66_polygon_48	82_polygon_52
66_polygon_59	82_polygon_53
66_polygon_63	82_polygon_54
66_polygon_45	82_polygon_55
66_polygon_61	82_polygon_56
66_polygon_62	82_polygon_57
